epoch,train_total_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_task1_macro_f1,val_task2_macro_f1,val_task3_macro_f1,shared_validation_score,best_shared_validation_score,learning_rate,patience_counter
1,0.6473124632381642,0.5784997762544387,0.24613398004871578,1.2896826632496483,0.5968235553096424,0.29772959552542105,0.17481711062712907,0.35645675382073083,0.35645675382073083,0.0003,0
2,0.6924286903545407,0.6245603389695158,0.2576355487447407,1.335225332164604,0.39531816683151993,0.2320328542094456,0.09580838323353294,0.24105313475816614,0.35645675382073083,0.0002991810233575568,1
3,0.6819422196784829,0.6299657447316245,0.25828646470374433,1.2791795540939679,0.5832107172846258,0.31926418856848376,0.15258358662613983,0.3516861641597498,0.35645675382073083,0.0002967330663097039,2
4,0.6519736803968007,0.601024600460732,0.24589030511201163,1.272064294477906,0.5656733750253029,0.34111091747027616,0.1497536945812808,0.35217932902561994,0.35645675382073083,0.0002926829491861254,3
5,0.6397292177730173,0.6035036825651294,0.24804600367903248,1.2433842860839583,0.39531816683151993,0.41134633340515697,0.20510528577567683,0.3372565953374513,0.35645675382073083,0.00028707504591756876,4
6,0.6523739973354157,0.6013633180213876,0.24662362615312658,1.205100099596913,0.525545600066173,0.38837050236585524,0.18793859649122807,0.3672848996410854,0.3672848996410854,0.00027997079786577355,0
7,0.6350434906482159,0.6346736977038275,0.24944026145127465,1.1704697392705314,0.5727296017509393,0.32975985815811254,0.148,0.3501631533030172,0.3672848996410854,0.0002714480406590546,1
8,0.6341752837407749,0.6292751599307708,0.25373764388869974,1.129815837801105,0.5838091108274965,0.3253076823692688,0.14747474747474748,0.35219718022383767,0.3672848996410854,0.0002616001514088704,2
9,0.6333105082987717,0.6267638991708038,0.2542479106224602,1.109351777819672,0.5945708170212385,0.3124516245260126,0.148,0.351674147182417,0.3672848996410854,0.0002505350256506492,3
10,0.6226742381179746,0.6211649729889621,0.25380512666258076,1.1103814781615229,0.6199479371956371,0.4500257070936719,0.17824397824397825,0.4160725408444291,0.4160725408444291,0.00023837389521772463,0
11,0.6250130187403417,0.6223644477912851,0.2523885876960365,1.097145987981899,0.5945887502887045,0.30157998816015175,0.1492537313432836,0.34847415659737996,0.4160725408444291,0.00022524999999999992,1
12,0.6259063243973617,0.6192754459308704,0.25541361516944233,1.1487683158631277,0.6282951032466328,0.3227949785384544,0.1511074197120709,0.36739916716571935,0.4160725408444291,0.0002113071281398321,2
13,0.6236501740795695,0.6139689001927613,0.25347460715168946,1.162463900918511,0.6014928733872239,0.33316281332886416,0.236023198011599,0.390226294909229,0.4160725408444291,0.00019669804065905458,3
14,0.6143073903234619,0.6134782111208257,0.24608541290206504,1.1264567790107696,0.6137124655488975,0.3336306478761866,0.2352729885057471,0.39420536731027706,0.4160725408444291,0.00018158279777725494,4
15,0.628359007349616,0.6215169940981818,0.24729009538692961,1.1131882712194816,0.593666810990816,0.3826676590264168,0.1497536945812808,0.37536272153283784,0.4160725408444291,0.00016612700525851415,5
16,0.6107001608133128,0.621177525473404,0.25117297896173507,1.0961089476892845,0.6057098017055146,0.3331816025045012,0.1664051684356253,0.3684321908818804,0.4160725408444291,0.0001505,6
17,0.6266917140385087,0.6198131165035805,0.25561877026653995,1.131420254632078,0.6080881230889803,0.2410408414810136,0.1485148514851485,0.33254793868504745,0.4160725408444291,0.0001348729947414858,7
