epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,epoch_seconds
1,0.0003,0.6333266757158886,0.7480144825975239,0.48565715301107776,0.48826246459101497,0.5421863317229626,0.806979280261723,0.587272613145897,0.6032593707281987,131.893102711
2,0.0002991810233575568,0.5216000199429317,0.7894767577668769,0.5608239971798189,0.5732113462043826,0.6440914219312346,0.7489094874591058,0.5771737552473848,0.5418978474125719,130.001004949
3,0.0002967330663097039,0.4803915088406736,0.8079887876664331,0.613858342796729,0.6342068990595648,0.7164679616852181,0.7082878953107961,0.5984363705972425,0.5522432471025316,128.83049645900002
4,0.0002926829491861254,0.45211405497626483,0.815638869423032,0.627911895565664,0.6484401223192288,0.5272035342656409,0.792257360959651,0.614624833577889,0.6234249962511617,130.45744834500005
5,0.00028707504591756876,0.4200795018987604,0.828135949544499,0.6597491766343139,0.6820258007885811,0.5473818242094899,0.7988004362050164,0.6127556119278357,0.5786542596370181,129.26487405299997
6,0.00027997079786577355,0.3994655078731667,0.8424433543564588,0.6924553532287159,0.7170501847114673,0.6748375328442523,0.720010905125409,0.6347797933591833,0.5889642478017882,129.34353570099995
7,0.0002714480406590546,0.36561780527174903,0.8547652417659425,0.7359629698815836,0.7554934434125495,0.6075184294545664,0.7900763358778626,0.6164364161647257,0.6022207379582694,130.11176934499997
8,0.0002616001514088704,0.34164138176930725,0.8666199486101378,0.757917861265664,0.7780381335718853,0.7214539630852452,0.7483642311886587,0.670404168291134,0.6313260105230297,129.4244957940001
9,0.0002505350256506492,0.32649793143975236,0.8702405979911235,0.771972062971702,0.7884945635362606,0.5662494299195975,0.7854416575790621,0.6321346797021076,0.6168188433964041,131.6285106129999
10,0.00023837389521772463,0.30895521418147764,0.8801097874328427,0.7921692521740891,0.8091405444310746,0.5985152818904448,0.7764449291166848,0.7176490559299111,0.6806543601968976,131.36117394899998
11,0.00022524999999999992,0.28363201790701364,0.8891614108853072,0.818229393016919,0.8315068427438026,0.6899217250172939,0.7617230098146128,0.6269179272899339,0.6131195966106209,148.32426574499982
12,0.0002113071281398321,0.2586652586196132,0.8974538659191778,0.830046936408822,0.8419774076067936,0.8819620822482177,0.7101962922573609,0.6424417068849119,0.6024947485759863,132.7655421899999
13,0.00019669804065905458,0.22977493625744233,0.9088413921980846,0.8539790854416274,0.8651129125720454,0.6946923424659405,0.7832606324972737,0.6377048844878902,0.6339571939427733,140.64075762400012
14,0.00018158279777725494,0.21361168073844866,0.9158491006774118,0.8715460765614764,0.8803450874418431,0.6597401883245945,0.804525627044711,0.6374799169557783,0.6442071688906699,130.31861622299994
15,0.00016612700525851415,0.19237785330583937,0.9229736042980612,0.8815347894527559,0.8899623560735482,0.7413336615786038,0.7838058887677208,0.6555584840025551,0.6440374548237582,131.59638310100013
16,0.0001505,0.1614066909696699,0.938215370240598,0.9037292995802555,0.9133726568461111,0.7495592855315172,0.7821701199563795,0.653710900474119,0.6465955482922567,134.31713344299988
17,0.0001348729947414858,0.1481357040551605,0.9435295491707545,0.9144795429034484,0.9214968334187095,0.9426139149827032,0.7644492911668485,0.713966530425051,0.6750845214478775,129.26968010400014
