majority_macro_f1,weighted_macro_f1,densenet169_macro_f1,majority_minus_densenet169,weighted_minus_densenet169,weighted_minus_majority
0.6588783725108198,0.6588783725108198,0.6427941000727289,0.016084272438090963,0.016084272438090963,0.0
0.6572686912876331,0.6572686912876331,0.6124812236812566,0.04478746760637653,0.04478746760637653,0.0
0.6915568321965946,0.6915568321965946,0.6687431026643088,0.022813729532285776,0.022813729532285776,0.0
0.6396527298095537,0.6396527298095537,0.6040694776366237,0.03558325217293001,0.03558325217293001,0.0
0.6742259307887287,0.6742259307887287,0.6461738385961628,0.02805209219256588,0.02805209219256588,0.0
0.6491270362616944,0.6491270362616944,0.6148762922413522,0.03425074402034223,0.03425074402034223,0.0
0.6686579545440271,0.6686579545440271,0.6554887716676334,0.013169182876393681,0.013169182876393681,0.0
0.6520506386321221,0.6520506386321221,0.6290817007135371,0.02296893791858501,0.02296893791858501,0.0
0.6222532964283859,0.6222532964283859,0.5843048585405455,0.037948437887840414,0.037948437887840414,0.0
0.6466381291069969,0.6466381291069969,0.6428330651980266,0.0038050639089702853,0.0038050639089702853,0.0
0.686460426292329,0.686460426292329,0.6384545162788431,0.048005910013485864,0.048005910013485864,0.0
0.6854774680263198,0.6854774680263198,0.6544854570842945,0.030992010942025305,0.030992010942025305,0.0
0.655940575651934,0.655940575651934,0.6052864876448077,0.05065408800712623,0.05065408800712623,0.0
0.6520167961079737,0.6520167961079737,0.6147173205778553,0.037299475530118364,0.037299475530118364,0.0
0.6724184121465638,0.6724184121465638,0.6472316894276642,0.025186722718899657,0.025186722718899657,0.0
0.6479389239850588,0.6479389239850588,0.6123702777705624,0.0355686462144964,0.0355686462144964,0.0
0.6841671881749215,0.6841671881749215,0.6617497167352184,0.022417471439703074,0.022417471439703074,0.0
0.6335011432520985,0.6335011432520985,0.6238334493393431,0.009667693912755349,0.009667693912755349,0.0
0.6292182699784434,0.6292182699784434,0.6053890292945473,0.023829240683896136,0.023829240683896136,0.0
0.6527859177570909,0.6527859177570909,0.6339779536760504,0.018807964081040573,0.018807964081040573,0.0
0.6993034329253855,0.6993034329253855,0.670009848262702,0.029293584662683503,0.029293584662683503,0.0
0.6483865484546116,0.6483865484546116,0.6514786635602473,-0.0030921151056356733,-0.0030921151056356733,0.0
0.6438495342102937,0.6438495342102937,0.5905468609790049,0.05330267323128879,0.05330267323128879,0.0
0.6591603550810147,0.6591603550810147,0.6381207422896511,0.02103961279136357,0.02103961279136357,0.0
0.6464834609357016,0.6464834609357016,0.633975370394229,0.012508090541472616,0.012508090541472616,0.0
0.6545539264144945,0.6545539264144945,0.6140937957017665,0.040460130712728026,0.040460130712728026,0.0
0.6400542572881615,0.6400542572881615,0.6050517350366397,0.035002522251521784,0.035002522251521784,0.0
0.679822944291675,0.679822944291675,0.6730714931988053,0.006751451092869676,0.006751451092869676,0.0
0.6587049907015519,0.6587049907015519,0.634722571967739,0.023982418733812905,0.023982418733812905,0.0
0.6683974224829944,0.6683974224829944,0.6406137875961444,0.027783634886849984,0.027783634886849984,0.0
0.6342898368042081,0.6342898368042081,0.6165335863735047,0.01775625043070339,0.01775625043070339,0.0
0.68028469233313,0.68028469233313,0.6515490737605771,0.028735618572552912,0.028735618572552912,0.0
0.6580965992662237,0.6580965992662237,0.6286457229863341,0.029450876279889515,0.029450876279889515,0.0
0.6168636063028287,0.6168636063028287,0.5875431616442234,0.029320444658605282,0.029320444658605282,0.0
0.6616605485121209,0.6616605485121209,0.6459947946162133,0.01566575389590752,0.01566575389590752,0.0
