majority_macro_f1,weighted_macro_f1,densenet169_macro_f1,majority_minus_densenet169,weighted_minus_densenet169,weighted_minus_majority
0.6937170090869036,0.6937170090869036,0.6566436391428194,0.03707336994408417,0.03707336994408417,0.0
0.6786099156144237,0.6786099156144237,0.6387927116586594,0.03981720395576438,0.03981720395576438,0.0
0.7028304637864262,0.7028304637864262,0.6610332939223622,0.04179716986406401,0.04179716986406401,0.0
0.6762165019740444,0.6762165019740444,0.6304532225191835,0.04576327945486092,0.04576327945486092,0.0
0.6842566640940605,0.6842566640940605,0.6515236570355615,0.03273300705849902,0.03273300705849902,0.0
0.6469516531566265,0.6469516531566265,0.6152184789386651,0.0317331742179614,0.0317331742179614,0.0
0.6836979746606608,0.6836979746606608,0.6624351729629866,0.02126280169767425,0.02126280169767425,0.0
0.6951172945445884,0.6951172945445884,0.6421278970381217,0.052989397506466696,0.052989397506466696,0.0
0.6942141597617859,0.6942141597617859,0.6632550014482651,0.030959158313520807,0.030959158313520807,0.0
0.6623726211500829,0.6623726211500829,0.6296578392944994,0.03271478185558352,0.03271478185558352,0.0
0.6924775046943213,0.6924775046943213,0.6448059389934903,0.04767156570083109,0.04767156570083109,0.0
0.667740898902467,0.667740898902467,0.6413162580829603,0.026424640819506684,0.026424640819506684,0.0
0.7017914171929405,0.7017914171929405,0.6484469996847966,0.05334441750814389,0.05334441750814389,0.0
0.6782089081339026,0.6782089081339026,0.6340032514101211,0.044205656723781406,0.044205656723781406,0.0
0.6934520803442857,0.6934520803442857,0.6505565462679886,0.04289553407629709,0.04289553407629709,0.0
0.6890838875964346,0.6890838875964346,0.6627365334557749,0.026347354140659696,0.026347354140659696,0.0
0.663298353759906,0.663298353759906,0.6394482797164519,0.023850074043454073,0.023850074043454073,0.0
0.6929276074030617,0.6929276074030617,0.6394158957707987,0.05351171163226298,0.05351171163226298,0.0
0.6948318175240097,0.6948318175240097,0.655138945259223,0.03969287226478668,0.03969287226478668,0.0
0.6911324488082337,0.6911324488082337,0.6331216698080462,0.05801077900018747,0.05801077900018747,0.0
0.660035683519842,0.660035683519842,0.6198085239177408,0.040227159602101215,0.040227159602101215,0.0
0.6876177272509413,0.6876177272509413,0.6743818428153017,0.013235884435639611,0.013235884435639611,0.0
0.6661840792543683,0.6661840792543683,0.6445080501033938,0.02167602915097444,0.02167602915097444,0.0
0.6914269554691306,0.6914269554691306,0.6507951940386204,0.04063176143051017,0.04063176143051017,0.0
0.7099681073325056,0.7099681073325056,0.6546422221038745,0.05532588522863113,0.05532588522863113,0.0
0.6930490211415109,0.6930490211415109,0.661016225808207,0.03203279533330394,0.03203279533330394,0.0
0.6698220491325746,0.6698220491325746,0.6499035552975878,0.019918493834986783,0.019918493834986783,0.0
0.6836551637425101,0.6836551637425101,0.6529787507110558,0.030676413031454297,0.030676413031454297,0.0
0.6794965744378937,0.6794965744378937,0.6575362110681204,0.02196036336977325,0.02196036336977325,0.0
0.6822177502232389,0.6822177502232389,0.6517502418251722,0.030467508398066778,0.030467508398066778,0.0
0.6765900451185334,0.6765900451185334,0.6463157574514629,0.03027428766707052,0.03027428766707052,0.0
0.668356258014324,0.668356258014324,0.6326730679391545,0.03568319007516951,0.03568319007516951,0.0
0.6830258711476442,0.6830258711476442,0.6359460824455971,0.0470797887020471,0.0470797887020471,0.0
0.6962072446512717,0.6962072446512717,0.6560352073871707,0.04017203726410101,0.04017203726410101,0.0
0.7046467029599605,0.7046467029599605,0.6655830426381256,0.03906366032183484,0.03906366032183484,0.0
0.684208691296377,0.684208691296377,0.628315132618051,0.055893558678325905,0.055893558678325905,0.0
0.7023395151979333,0.7023395151979333,0.6773202810070849,0.025019234190848394,0.025019234190848394,0.0
0.6894782885561573,0.6894782885561573,0.6581767224404356,0.03130156611572177,0.03130156611572177,0.0
0.7092950880470238,0.7092950880470238,0.6680057171950288,0.04128937085199502,0.04128937085199502,0.0
0.6711067137099493,0.6711067137099493,0.6509735241619296,0.020133189548019792,0.020133189548019792,0.0
0.6813264103937113,0.6813264103937113,0.6599540757831949,0.021372334610516464,0.021372334610516464,0.0
0.6761046051344619,0.6761046051344619,0.634726678242256,0.041377926892205874,0.041377926892205874,0.0
0.6910848937887998,0.6910848937887998,0.6540520886573468,0.03703280513145302,0.03703280513145302,0.0
0.6658720952363426,0.6658720952363426,0.6301259299177807,0.035746165318561895,0.035746165318561895,0.0
0.6760419106085053,0.6760419106085053,0.654927570897187,0.021114339711318264,0.021114339711318264,0.0
0.6797371920160942,0.6797371920160942,0.6496279457375305,0.030109246278563706,0.030109246278563706,0.0
0.6860267879659406,0.6860267879659406,0.6553642132249822,0.03066257474095846,0.03066257474095846,0.0
0.6704367882178482,0.6704367882178482,0.627677535751499,0.04275925246634926,0.04275925246634926,0.0
0.7168307248360313,0.7168307248360313,0.6640755863449256,0.05275513849110569,0.05275513849110569,0.0
0.6889755298567085,0.6889755298567085,0.6520768918179392,0.03689863803876936,0.03689863803876936,0.0
0.6806432325150032,0.6806432325150032,0.6524797040485909,0.028163528466412346,0.028163528466412346,0.0
0.6841554503572815,0.6841554503572815,0.6531994625323897,0.03095598782489184,0.03095598782489184,0.0
0.6973689464422027,0.6973689464422027,0.658444544311874,0.03892440213032866,0.03892440213032866,0.0
0.6662573404273049,0.6662573404273049,0.6250026581181127,0.04125468230919216,0.04125468230919216,0.0
0.6903264258879895,0.6903264258879895,0.6540238841081074,0.036302541779882125,0.036302541779882125,0.0
0.6729146017915971,0.6729146017915971,0.6400371660064508,0.03287743578514635,0.03287743578514635,0.0
0.638783497307921,0.638783497307921,0.6202204969368544,0.018563000371066618,0.018563000371066618,0.0
0.6743946176639737,0.6743946176639737,0.6480459417013701,0.026348675962603596,0.026348675962603596,0.0
0.6783206056087531,0.6783206056087531,0.6341715626907436,0.04414904291800947,0.04414904291800947,0.0
0.6973585834893954,0.6973585834893954,0.667112684496866,0.030245898992529385,0.030245898992529385,0.0
0.6806404547890186,0.6806404547890186,0.6485370149156342,0.032103439873384376,0.032103439873384376,0.0
0.684953603965395,0.684953603965395,0.6418792133034598,0.04307439066193519,0.04307439066193519,0.0
0.6843409809333056,0.6843409809333056,0.666388352077449,0.01795262885585669,0.01795262885585669,0.0
0.7080964396123517,0.7080964396123517,0.6601320395247472,0.0479644000876045,0.0479644000876045,0.0
0.701884375052293,0.701884375052293,0.6549672181399547,0.04691715691233822,0.04691715691233822,0.0
0.699840980289768,0.699840980289768,0.6599244469472122,0.03991653334255585,0.03991653334255585,0.0
0.6876115071773863,0.6876115071773863,0.6528508858647049,0.03476062131268143,0.03476062131268143,0.0
0.6623015649092715,0.6623015649092715,0.6442541011736806,0.018047463735590852,0.018047463735590852,0.0
0.6812442432783277,0.6812442432783277,0.6537475943525478,0.027496648925779854,0.027496648925779854,0.0
0.6828473709219506,0.6828473709219506,0.6453740885202301,0.03747328240172043,0.03747328240172043,0.0
0.676863144263037,0.676863144263037,0.628194778789197,0.0486683654738399,0.0486683654738399,0.0
0.6752978367773315,0.6752978367773315,0.6593421346435863,0.015955702133745198,0.015955702133745198,0.0
0.6820635959974509,0.6820635959974509,0.6718289942920117,0.010234601705439217,0.010234601705439217,0.0
0.6819830594008798,0.6819830594008798,0.6561714741557165,0.02581158524516325,0.02581158524516325,0.0
0.7025591208032305,0.7025591208032305,0.6685628150802011,0.03399630572302936,0.03399630572302936,0.0
0.6780107944517336,0.6780107944517336,0.639407047545457,0.03860374690627666,0.03860374690627666,0.0
0.661210815388713,0.661210815388713,0.6337945686594398,0.02741624672927312,0.02741624672927312,0.0
0.6810827768123817,0.6810827768123817,0.6639860333721489,0.01709674344023282,0.01709674344023282,0.0
0.6873978774310721,0.6873978774310721,0.6475491800813824,0.039848697349689655,0.039848697349689655,0.0
0.6625357621075618,0.6625357621075618,0.6399721796537842,0.022563582453777653,0.022563582453777653,0.0
0.6578573279772231,0.6578573279772231,0.6282595870460832,0.02959774093113987,0.02959774093113987,0.0
0.6769341785008944,0.6769341785008944,0.662495467509578,0.014438710991316439,0.014438710991316439,0.0
0.6695083056631996,0.6695083056631996,0.6396337209828783,0.029874584680321337,0.029874584680321337,0.0
0.686570671911143,0.686570671911143,0.6446104719616189,0.041960199949524046,0.041960199949524046,0.0
0.7076843628951824,0.7076843628951824,0.6816273877692851,0.02605697512589733,0.02605697512589733,0.0
0.6778397575021342,0.6778397575021342,0.6376160098020984,0.040223747700035783,0.040223747700035783,0.0
0.6960486871350634,0.6960486871350634,0.6484481903800774,0.04760049675498601,0.04760049675498601,0.0
