comparison,both_correct,a_correct_b_wrong,a_wrong_b_correct,both_wrong,discordant_pairs,exact_two_sided_p_value,paired_accuracy_difference_a_minus_b,raw_discordant_pair_odds_ratio_a_over_b
majority_vs_densenet169,2690,248,133,597,381,4.0016359464581125e-09,0.03135223555070883,"{'numeric_value': 1.8646616541353382, 'status': 'finite'}"
weighted_vs_densenet169,2690,248,133,597,381,4.0016359464581125e-09,0.03135223555070883,"{'numeric_value': 1.8646616541353382, 'status': 'finite'}"
weighted_vs_majority,2938,0,0,730,0,1.0,0.0,"{'numeric_value': None, 'status': 'undefined'}"
