cohort,threshold_votes,threshold_fraction,retained_count,referred_count,coverage,accuracy,error_rate,macro_f1,weighted_f1,balanced_accuracy,malignant_sensitivity,malignant_coverage,scc_sensitivity,scc_f1,coverage_non_malignant,precision_non_malignant,recall_non_malignant,f1_non_malignant,support_retained_non_malignant,coverage_melanoma,precision_melanoma,recall_melanoma,f1_melanoma,support_retained_melanoma,coverage_bcc,precision_bcc,recall_bcc,f1_bcc,support_retained_bcc,coverage_scc,precision_scc,recall_scc,f1_scc,support_retained_scc
ISIC internal test,7,1.0,1902,1766,0.5185387131952017,0.9316508937960042,0.0683491062039958,0.8256860043689622,0.9301690908237518,0.7879730364684115,0.8898163606010017,0.4716535433070866,0.4210526315789473,0.5714285714285714,0.5433694745621351,0.9501133786848072,0.9646968534151956,0.9573495811119574,1303,0.4911504424778761,0.8698412698412699,0.8228228228228228,0.845679012345679,333,0.4959839357429719,0.9137254901960784,0.9433198380566802,0.9282868525896414,247,0.202127659574468,0.8888888888888888,0.4210526315789473,0.5714285714285714,19
ISIC internal test,6,0.8571428571428571,2586,1082,0.7050163576881134,0.8979118329466357,0.1020881670533643,0.7783619245220765,0.8970718717909565,0.755783834062006,0.8742655699177438,0.6700787401574804,0.3823529411764705,0.4999999999999999,0.7235195996663887,0.937862950058072,0.930835734870317,0.934336129592132,1735,0.6666666666666666,0.7806451612903226,0.8030973451327433,0.7917121046892039,452,0.7329317269076305,0.868766404199475,0.9068493150684932,0.8873994638069704,365,0.3617021276595745,0.7222222222222222,0.3823529411764705,0.4999999999999999,34
ISIC internal test,5,0.7142857142857143,3112,556,0.8484187568157033,0.8537917737789203,0.1462082262210796,0.7288831551558447,0.8543050363329495,0.7195987685354293,0.8465204957102002,0.8259842519685039,0.3703703703703703,0.4545454545454545,0.8603002502085071,0.9195402298850576,0.8919049927290353,0.905511811023622,2063,0.8407079646017699,0.6905901116427432,0.7596491228070176,0.7234753550543024,570,0.8534136546184738,0.8088888888888889,0.8564705882352941,0.8320000000000001,425,0.574468085106383,0.5882352941176471,0.3703703703703703,0.4545454545454545,54
ISIC internal test,4,0.5714285714285714,3578,90,0.97546346782988,0.8116266070430408,0.1883733929569592,0.6893127566445484,0.8141343983688856,0.6869003499657672,0.8230958230958231,0.9614173228346456,0.3506493506493506,0.432,0.9829024186822352,0.9025710419485792,0.848960543063216,0.8749453432444251,2357,0.9823008849557522,0.6078184110970997,0.7237237237237237,0.660726525017135,666,0.9598393574297188,0.7576923076923077,0.8242677824267782,0.7895791583166332,478,0.8191489361702128,0.5625,0.3506493506493506,0.432,77
HIBA external,7,1.0,761,471,0.6176948051948052,0.9250985545335084,0.0749014454664914,0.7555695746655723,0.9162488460074648,0.6914990408966313,0.718562874251497,0.3115671641791044,0.2857142857142857,0.4285714285714285,0.853448275862069,0.9264475743348984,0.9966329966329966,0.9602595296025954,594,0.423469387755102,0.9285714285714286,0.6265060240963856,0.7482014388489209,83,0.2751091703056768,0.9152542372881356,0.8571428571428571,0.8852459016393444,63,0.1891891891891892,0.8571428571428571,0.2857142857142857,0.4285714285714285,21
HIBA external,6,0.8571428571428571,909,323,0.7378246753246753,0.8866886688668867,0.1133113311331133,0.7235542418415598,0.8726250115729037,0.6654170476997175,0.6917293233082706,0.4962686567164179,0.25,0.392156862745098,0.9238505747126436,0.8862690707350902,0.9937791601866252,0.936950146627566,643,0.6530612244897959,0.9058823529411764,0.6015625,0.7230046948356808,128,0.4279475982532751,0.8695652173913043,0.8163265306122449,0.8421052631578948,98,0.3603603603603603,0.9090909090909092,0.25,0.392156862745098,40
HIBA external,5,0.7142857142857143,1044,188,0.8474025974025974,0.8486590038314177,0.1513409961685823,0.6974223160255136,0.8332400355982013,0.6494109840018273,0.7016129032258065,0.6940298507462687,0.2666666666666666,0.3855421686746988,0.9655172413793104,0.8562176165803109,0.9836309523809524,0.9155124653739612,672,0.8316326530612245,0.8495575221238938,0.588957055214724,0.6956521739130435,163,0.6506550218340611,0.8308823529411765,0.7583892617449665,0.792982456140351,149,0.5405405405405406,0.6956521739130435,0.2666666666666666,0.3855421686746988,60
HIBA external,4,0.5714285714285714,1184,48,0.961038961038961,0.8048986486486487,0.1951013513513513,0.6685356935404948,0.7863367926498899,0.6277837330412984,0.7032520325203252,0.917910447761194,0.2857142857142857,0.4,0.9942528735632185,0.823030303030303,0.98121387283237,0.8951878707976269,692,0.9540816326530612,0.7552447552447552,0.5775401069518716,0.6545454545454545,187,0.9039301310043668,0.7931034482758621,0.6666666666666666,0.7244094488188977,207,0.8828828828828829,0.6666666666666666,0.2857142857142857,0.4,98
