system,type,accuracy,balanced_accuracy,macro_f1,weighted_f1,malignant_sensitivity,scc_sensitivity,scc_f1
densenet121,individual,0.7914394765539804,0.6168282266253176,0.6351074531606824,0.7861623640231901,0.6929133858267716,0.2978723404255319,0.3435582822085889
densenet169,individual,0.7696292257360959,0.6532892120526906,0.6493306152858874,0.7744815161302143,0.7992125984251969,0.35106382978723405,0.4177215189873418
resnet50,individual,0.7434569247546347,0.6579759578026286,0.6409889384221806,0.7519603686463626,0.7795275590551181,0.4574468085106383,0.45263157894736844
mobilenet_v3_large,individual,0.7540894220283533,0.6399992169925672,0.619003748680125,0.7615760182153551,0.8244094488188977,0.2978723404255319,0.32748538011695905
efficientnet_b0,individual,0.7420937840785169,0.6503125394090663,0.6192224685168973,0.7525567213826209,0.8653543307086614,0.3191489361702128,0.35714285714285715
efficientnet_b2,individual,0.7480916030534351,0.6407523235236612,0.6199513647966493,0.7558287698569517,0.8236220472440945,0.2978723404255319,0.3435582822085889
efficientnet_b3,individual,0.7739912758996729,0.6290042301258529,0.6260395713433519,0.7772254978863951,0.8,0.24468085106382978,0.3129251700680272
majority_vote,primary_ensemble,0.8009814612868048,0.6840355659818975,0.6847936721483718,0.8039489122222689,0.8212598425196851,0.3723404255319149,0.45161290322580644
validation_weighted_vote,secondary_ensemble,0.8009814612868048,0.6840355659818975,0.6847936721483718,0.8039489122222689,0.8212598425196851,0.3723404255319149,0.45161290322580644
