threshold_votes,threshold_fraction,retained_count,referred_count,coverage,accuracy,error_rate,macro_f1,weighted_f1,balanced_accuracy,malignant_sensitivity,malignant_coverage,scc_sensitivity,scc_f1,coverage_non_malignant,precision_non_malignant,recall_non_malignant,f1_non_malignant,support_retained_non_malignant,coverage_melanoma,precision_melanoma,recall_melanoma,f1_melanoma,support_retained_melanoma,coverage_bcc,precision_bcc,recall_bcc,f1_bcc,support_retained_bcc,coverage_scc,precision_scc,recall_scc,f1_scc,support_retained_scc
7,1.0,1902,1766,0.5185387131952017,0.9316508937960042,0.06834910620399581,0.8256860043689622,0.9301690908237518,0.7879730364684115,0.8898163606010017,0.4716535433070866,0.42105263157894735,0.5714285714285714,0.5433694745621351,0.9501133786848073,0.9646968534151957,0.9573495811119574,1303,0.4911504424778761,0.8698412698412699,0.8228228228228228,0.845679012345679,333,0.4959839357429719,0.9137254901960784,0.9433198380566802,0.9282868525896414,247,0.20212765957446807,0.8888888888888888,0.42105263157894735,0.5714285714285714,19
6,0.8571428571428571,2586,1082,0.7050163576881134,0.8979118329466357,0.10208816705336432,0.7783619245220765,0.8970718717909565,0.755783834062006,0.8742655699177438,0.6700787401574804,0.38235294117647056,0.4999999999999999,0.7235195996663887,0.937862950058072,0.930835734870317,0.934336129592132,1735,0.6666666666666666,0.7806451612903226,0.8030973451327433,0.7917121046892039,452,0.7329317269076305,0.868766404199475,0.9068493150684932,0.8873994638069704,365,0.3617021276595745,0.7222222222222222,0.38235294117647056,0.4999999999999999,34
5,0.7142857142857143,3112,556,0.8484187568157033,0.8537917737789203,0.14620822622107965,0.7288831551558447,0.8543050363329495,0.7195987685354293,0.8465204957102002,0.8259842519685039,0.37037037037037035,0.45454545454545453,0.8603002502085071,0.9195402298850575,0.8919049927290353,0.9055118110236219,2063,0.8407079646017699,0.6905901116427432,0.7596491228070176,0.7234753550543024,570,0.8534136546184738,0.8088888888888889,0.8564705882352941,0.8320000000000001,425,0.574468085106383,0.5882352941176471,0.37037037037037035,0.45454545454545453,54
4,0.5714285714285714,3578,90,0.97546346782988,0.8116266070430408,0.1883733929569592,0.6893127566445484,0.8141343983688856,0.6869003499657672,0.8230958230958231,0.9614173228346456,0.35064935064935066,0.432,0.9829024186822352,0.9025710419485792,0.848960543063216,0.8749453432444251,2357,0.9823008849557522,0.6078184110970997,0.7237237237237237,0.660726525017135,666,0.9598393574297188,0.7576923076923077,0.8242677824267782,0.7895791583166332,478,0.8191489361702128,0.5625,0.35064935064935066,0.432,77
