max_vote_count,agreement_fraction,count,fraction_of_cohort,majority_accuracy,majority_error_rate,weighted_accuracy,weighted_error_rate,true_non_malignant_count,true_melanoma_count,true_bcc_count,true_scc_count
7,1.0,1902,0.5185387131952017,0.9316508937960042,0.0683491062039958,0.9316508937960042,0.0683491062039958,1303,333,247,19
6,0.8571428571428571,684,0.18647764449291168,0.804093567251462,0.195906432748538,0.804093567251462,0.195906432748538,432,119,118,15
5,0.7142857142857143,526,0.14340239912758998,0.6368821292775665,0.36311787072243346,0.6368821292775665,0.36311787072243346,328,118,60,20
4,0.5714285714285714,466,0.12704471101417666,0.5300429184549357,0.4699570815450644,0.5300429184549357,0.4699570815450644,294,96,53,23
3,0.42857142857142855,84,0.022900763358778626,0.39285714285714285,0.6071428571428571,0.39285714285714285,0.6071428571428571,40,12,18,14
2,0.2857142857142857,6,0.0016357688113413304,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,1,0,2,3
