epoch,train_total_loss,train_task1_loss,train_task2_loss,train_task3_loss,val_task1_macro_f1,val_task2_macro_f1,val_task3_macro_f1,shared_validation_score,best_shared_validation_score,learning_rate,patience_counter
1,0.6882373785808429,0.5868576188175596,0.25769868214452796,1.408103140265452,0.6276124270950578,0.2631035680460168,0.15098039215686274,0.3472321290993124,0.3472321290993124,0.0003,0
2,0.6273498948970865,0.5569792444900608,0.22956276149225965,1.229608415604039,0.7304213848906631,0.5489504364436907,0.0975609756097561,0.45897759898136997,0.45897759898136997,0.0002991810233575568,0
3,0.6179541775571774,0.5253100446892018,0.22660128026823836,1.2417396897769937,0.6123088449754492,0.35273939643042124,0.17145480705498167,0.37883434948695077,0.45897759898136997,0.0002967330663097039,1
4,0.5869606547894441,0.5371319282764281,0.2258841021969736,1.132195155151966,0.7276439433424288,0.47512519756528476,0.1485148514851485,0.4504279974642873,0.45897759898136997,0.0002926829491861254,2
5,0.5603197590231506,0.5183741231926466,0.22012652092962035,1.0388182894348696,0.7116729500805838,0.49838801922415404,0.159018759018759,0.45635990944116567,0.45897759898136997,0.00028707504591756876,3
6,0.599577336430294,0.5423931331225601,0.22082354598560094,1.1348776846421689,0.7016350497257391,0.5672433982293137,0.14663926314988202,0.47183923703497826,0.47183923703497826,0.00027997079786577355,0
7,0.5772728586031387,0.5379411808953222,0.21632771032055723,1.092686931668508,0.6767405599620364,0.5566945102998306,0.15779704232534422,0.46374403752907045,0.47183923703497826,0.0002714480406590546,1
8,0.5536266278434734,0.507678227733644,0.2131465733367865,1.1115452160036523,0.7001509330352785,0.4686675928965606,0.1265536723163842,0.43179073274940777,0.47183923703497826,0.0002616001514088704,2
9,0.5730989665475922,0.5294332286341673,0.2174341405632423,1.1246599864578408,0.685895013929774,0.5259706552102112,0.25090301003344484,0.48758955972447665,0.48758955972447665,0.0002505350256506492,0
10,0.547610628267136,0.5311711144047735,0.2030647157858966,1.0209052047569944,0.5438769020304325,0.5508293005420285,0.20596430913984576,0.4335568372374356,0.48758955972447665,0.00023837389521772463,1
11,0.5264921050158374,0.49810198955176954,0.19740845173562163,1.0215245214877304,0.7282838959970883,0.5001596633351374,0.19245283018867926,0.4736321298403017,0.48758955972447665,0.00022524999999999992,2
12,0.5103325728692458,0.49046973461018517,0.19967778626018504,0.9538952571775777,0.7574019023986032,0.5384019010751369,0.148,0.48126793449124666,0.48758955972447665,0.0002113071281398321,3
13,0.5051313310084486,0.4830609851405181,0.1928909728424462,0.9428095739046332,0.7363364220691716,0.5328635871689578,0.159018759018759,0.4760729227522962,0.48758955972447665,0.00019669804065905458,4
14,0.47927797641989905,0.4642744236298321,0.18527205716526501,0.8663545061492358,0.6950547637111625,0.5430111163978494,0.2657123760721845,0.5012594187270655,0.5012594187270655,0.00018158279777725494,0
15,0.49497688666384704,0.47667829316092886,0.1878957257209912,0.8645775218052093,0.7069403263320491,0.573407762132648,0.150253807106599,0.47686729852376536,0.5012594187270655,0.00016612700525851415,1
16,0.48087446184692,0.46451509171516864,0.18716045395557362,0.8702819673501281,0.7585707569346498,0.5072228584137334,0.14331758821894972,0.46970373452244435,0.5012594187270655,0.0001505,2
17,0.47933888933919383,0.4673034621368249,0.18346336869360563,0.8872784732618316,0.7484848826418086,0.569592794993529,0.1600459242250287,0.4927078672867888,0.5012594187270655,0.0001348729947414858,3
18,0.4570002505318792,0.4512285061495601,0.17717305630887667,0.8433558942894341,0.7227482266957861,0.5607907161761788,0.21585579937304072,0.49979824741500195,0.5012594187270655,0.00011941720222274492,4
19,0.46486219813880486,0.447017873615841,0.1820556985610373,0.8539220175583555,0.7486634430454655,0.5894721940806549,0.14666666666666667,0.49493410126426235,0.5012594187270655,0.00010430195934094534,5
20,0.42307003539294014,0.43533846266050813,0.16371909299900853,0.6964847626547119,0.764834898137216,0.5792667793195053,0.16343435043653406,0.5025120092977517,0.5025120092977517,8.969287186016786e-05,0
21,0.4043250023571871,0.4268987103600531,0.1618005118433771,0.6619921187158385,0.7636320828409918,0.5790612503794421,0.21202950558213715,0.5182409462675237,0.5182409462675237,7.575000000000001e-05,0
22,0.40238685795087176,0.42860090594213995,0.1559167472930486,0.6309944715426125,0.7365938731892663,0.5622591941655146,0.13574912891986063,0.4782007320915472,0.5182409462675237,6.262610478227527e-05,1
23,0.3795070346536937,0.4234068836617403,0.15276713510766396,0.6447119540613307,0.7661090941331841,0.6202632184325548,0.16664975477760866,0.5176740224477825,0.5182409462675237,5.046497434935074e-05,2
24,0.36769862440211304,0.41801155028924347,0.1506563950712535,0.567140798739813,0.763673450846959,0.5804758972901719,0.15099573257467994,0.49838169357060363,0.5182409462675237,3.939984859112959e-05,3
25,0.3630039380899683,0.41530212503961245,0.14621096051936708,0.5438164172863541,0.7756469640440826,0.5889690490477005,0.15117505995203837,0.5052636910146071,0.5182409462675237,2.9551959340945373e-05,4
