max_vote_count,agreement_fraction,count,fraction_of_cohort,majority_accuracy,majority_error_rate,weighted_accuracy,weighted_error_rate,true_non_malignant_count,true_melanoma_count,true_bcc_count,true_scc_count
7,1.0,761,0.6176948051948052,0.9250985545335085,0.07490144546649145,0.9250985545335085,0.07490144546649145,594,83,63,21
6,0.8571428571428571,148,0.12012987012987013,0.6891891891891891,0.3108108108108108,0.6891891891891891,0.3108108108108108,49,45,35,19
5,0.7142857142857143,135,0.10957792207792208,0.5925925925925926,0.4074074074074074,0.5925925925925926,0.4074074074074074,29,35,51,20
4,0.5714285714285714,140,0.11363636363636363,0.4785714285714286,0.5214285714285715,0.4785714285714286,0.5214285714285715,20,24,58,38
3,0.42857142857142855,45,0.036525974025974024,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,4,8,21,12
2,0.2857142857142857,3,0.002435064935064935,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0,1,1,1
