threshold_votes,threshold_fraction,retained_count,referred_count,coverage,accuracy,error_rate,macro_f1,weighted_f1,balanced_accuracy,malignant_sensitivity,malignant_coverage,scc_sensitivity,scc_f1,coverage_non_malignant,precision_non_malignant,recall_non_malignant,f1_non_malignant,support_retained_non_malignant,coverage_melanoma,precision_melanoma,recall_melanoma,f1_melanoma,support_retained_melanoma,coverage_bcc,precision_bcc,recall_bcc,f1_bcc,support_retained_bcc,coverage_scc,precision_scc,recall_scc,f1_scc,support_retained_scc
7,1.0,761,471,0.6176948051948052,0.9250985545335085,0.07490144546649147,0.7555695746655723,0.9162488460074649,0.6914990408966313,0.718562874251497,0.31156716417910446,0.2857142857142857,0.42857142857142855,0.853448275862069,0.9264475743348983,0.9966329966329966,0.9602595296025954,594,0.42346938775510207,0.9285714285714286,0.6265060240963856,0.7482014388489209,83,0.27510917030567683,0.9152542372881356,0.8571428571428571,0.8852459016393444,63,0.1891891891891892,0.8571428571428571,0.2857142857142857,0.42857142857142855,21
6,0.8571428571428571,909,323,0.7378246753246753,0.8866886688668867,0.11331133113311331,0.7235542418415598,0.8726250115729037,0.6654170476997175,0.6917293233082706,0.4962686567164179,0.25,0.392156862745098,0.9238505747126436,0.8862690707350902,0.9937791601866252,0.9369501466275659,643,0.6530612244897959,0.9058823529411765,0.6015625,0.7230046948356808,128,0.4279475982532751,0.8695652173913043,0.8163265306122449,0.8421052631578948,98,0.36036036036036034,0.9090909090909091,0.25,0.392156862745098,40
5,0.7142857142857143,1044,188,0.8474025974025974,0.8486590038314177,0.15134099616858232,0.6974223160255136,0.8332400355982013,0.6494109840018273,0.7016129032258065,0.6940298507462687,0.26666666666666666,0.3855421686746988,0.9655172413793104,0.8562176165803109,0.9836309523809523,0.9155124653739611,672,0.8316326530612245,0.8495575221238938,0.588957055214724,0.6956521739130435,163,0.6506550218340611,0.8308823529411765,0.7583892617449665,0.792982456140351,149,0.5405405405405406,0.6956521739130435,0.26666666666666666,0.3855421686746988,60
4,0.5714285714285714,1184,48,0.961038961038961,0.8048986486486487,0.19510135135135132,0.6685356935404948,0.7863367926498899,0.6277837330412984,0.7032520325203252,0.917910447761194,0.2857142857142857,0.4,0.9942528735632183,0.823030303030303,0.9812138728323699,0.8951878707976269,692,0.9540816326530612,0.7552447552447552,0.5775401069518716,0.6545454545454545,187,0.9039301310043668,0.7931034482758621,0.6666666666666666,0.7244094488188977,207,0.8828828828828829,0.6666666666666666,0.2857142857142857,0.4,98
