system,type,accuracy,balanced_accuracy,macro_f1,weighted_f1,malignant_sensitivity,scc_sensitivity,scc_f1
densenet121,individual,0.7410714285714286,0.5457673706068419,0.586649538202106,0.7119088044637668,0.5914179104477612,0.24324324324324326,0.339622641509434
densenet169,individual,0.762987012987013,0.5984562758775173,0.6333103423751594,0.7445123048624296,0.6809701492537313,0.3153153153153153,0.4142011834319526
resnet50,individual,0.734577922077922,0.5516899276915519,0.5925211874016479,0.7083514799342504,0.5783582089552238,0.32432432432432434,0.39560439560439564
mobilenet_v3_large,individual,0.7670454545454546,0.6117306663749755,0.6342622050287939,0.7523051244897226,0.7425373134328358,0.27927927927927926,0.3668639053254438
efficientnet_b0,individual,0.7686688311688312,0.615195280650139,0.6345457516967488,0.7555097408417503,0.7723880597014925,0.27927927927927926,0.3780487804878049
efficientnet_b2,individual,0.7589285714285714,0.6048412629661151,0.6316381685349395,0.7441353351628573,0.7126865671641791,0.3063063063063063,0.3953488372093023
efficientnet_b3,individual,0.7840909090909091,0.622810011733259,0.6528851446818551,0.7659690332597283,0.7332089552238806,0.26126126126126126,0.3972602739726027
majority_vote,primary_ensemble,0.7905844155844156,0.6234260157951189,0.662182651105471,0.7716148719309712,0.7052238805970149,0.3063063063063063,0.41975308641975306
validation_weighted_vote,secondary_ensemble,0.7905844155844156,0.6234260157951189,0.662182651105471,0.7716148719309712,0.7052238805970149,0.3063063063063063,0.41975308641975306
