class_name,precision,recall,f1,support
non_malignant,0.84566679857538585,0.89115929941618011,0.86781725888324879,2398
melanoma,0.64745762711864407,0.56342182890855452,0.60252365930599372,678
bcc,0.7385892116182573,0.71485943775100402,0.72653061224489801,498
scc,0.40579710144927539,0.2978723404255319,0.34355828220858892,94
