replicate_id,flat_accuracy,hierarchical_accuracy,difference_accuracy,flat_balanced_accuracy,hierarchical_balanced_accuracy,difference_balanced_accuracy,flat_macro_f1,hierarchical_macro_f1,difference_macro_f1,flat_f1_non_malignant,flat_f1_melanoma,flat_f1_bcc,flat_f1_scc,hierarchical_f1_non_malignant,hierarchical_f1_melanoma,hierarchical_f1_bcc,hierarchical_f1_scc,difference_f1_non_malignant,difference_f1_melanoma,difference_f1_bcc,difference_f1_scc
0,0.73718647764449297,0.74045801526717558,-0.0032715376226826187,0.61996313357137645,0.62121517020726702,-0.0012520366358905743,0.58602901872253477,0.59628950267961822,-0.010260483957083455,0.82279935646977698,0.61163895486935871,0.66725352112676062,0.24242424242424243,0.83177984909010216,0.57391304347826089,0.6923837784371909,0.28708133971291866,-0.0089804926203251867,0.037725911391097822,-0.025130257310430282,-0.044657097288676229
1,0.72873500545256276,0.73800436205016362,-0.0092693565976008641,0.6295182528985237,0.6298317896560075,-0.00031353675748380105,0.59719565365610605,0.60682283879462162,-0.0096271851385155705,0.81022570244127134,0.59066745422327227,0.68485915492957739,0.30303030303030304,0.82399822891299535,0.57300613496932518,0.70336391437308876,0.32692307692307693,-0.013772526471724,0.017661319253947094,-0.018504759443511376,-0.023892773892773889
2,0.74509269356597596,0.74700109051254093,-0.0019083969465649719,0.63665635889670713,0.64443260035912575,-0.0077762414624186205,0.60914467023806018,0.62253402804592017,-0.013389357807859992,0.82586837294332738,0.61253731343283579,0.68849557522123894,0.30967741935483872,0.8298991670320035,0.57635782747603836,0.71314741035856566,0.37073170731707317,-0.0040307940886761262,0.03617948595679743,-0.024651835137326716,-0.061054287962234444
3,0.75327153762268262,0.74018538713195203,0.013086150490730586,0.68146253406716006,0.63631371557195149,0.045148818495208576,0.64461901322973114,0.60811918778777307,0.036499825441958067,0.8293795620437957,0.62850182704019486,0.69278717720391803,0.42780748663101609,0.82589482987185148,0.57484276729559758,0.70741482965931879,0.32432432432432429,0.003484732171944227,0.053659059744597282,-0.014627652455400764,0.1034831623066918
4,0.757360959651036,0.73800436205016362,0.019356597600872383,0.67024973261914478,0.62440687789266247,0.045842854726482307,0.6425121922006044,0.60158168646039945,0.040930505740204959,0.83223907629612859,0.63119266055045875,0.69964028776978415,0.40697674418604651,0.82728272827282723,0.56551724137931025,0.69724770642201839,0.31627906976744186,0.0049563480233013602,0.065675419171148497,0.0023925813477657654,0.090697674418604657
5,0.74045801526717558,0.73282442748091603,0.0076335877862595547,0.6308209442733741,0.60956389643784537,0.021257047835528731,0.59677931486640878,0.58633562614364176,0.010443688722767019,0.82431807674526125,0.62113251605370701,0.66666666666666674,0.27500000000000002,0.8201375027722333,0.57953144266337864,0.68605817452357065,0.25961538461538458,0.0041805739730279567,0.041601073390328369,-0.019391507856903911,0.015384615384615441
6,0.72764449291166844,0.73446019629225734,-0.0068157033805889,0.59251281261139266,0.61886142573494096,-0.026348613123548303,0.56114655958807402,0.59597269652830875,-0.034826136940234731,0.81791181174320327,0.58746268656716405,0.6631111111111111,0.1761006289308176,0.8237895202299359,0.57107540173053151,0.68426395939086293,0.30476190476190479,-0.0058777084867326357,0.016387284836632543,-0.021152848279751835,-0.12866127583108719
7,0.75817884405670666,0.74890948745910579,0.0092693565976008641,0.67185351565452711,0.65257398445374226,0.01927953120078485,0.6424352256873771,0.6229800540099264,0.0194551716774507,0.83204720835224688,0.63222632226322273,0.70546737213403876,0.40000000000000002,0.8283631544068919,0.60063897763578278,0.70611057225994189,0.35680751173708913,0.0036840539453549814,0.031587344627439951,-0.00064320012590313169,0.043192488262910889
8,0.74209378407851689,0.75,-0.0079062159214831063,0.6572830771244329,0.64222855945147095,0.015054517672961953,0.63152353321024934,0.62110411248334874,0.010419420726900608,0.82219705549263877,0.5818406423718343,0.70785525154457196,0.41420118343195272,0.83256930801135121,0.58193548387096772,0.71414242728184552,0.35576923076923073,-0.010372252518712433,-9.4841499133413443e-05,-0.0062871757372735537,0.058431952662721998
9,0.74563794983642306,0.73473282442748089,0.010905125408942173,0.6589381186906309,0.62009828227572594,0.03883983641490496,0.62822595805270753,0.59250763088900293,0.0357183271637046,0.82449725776965266,0.61278648974668271,0.68965517241379315,0.38596491228070179,0.82360772132238735,0.56329113924050633,0.70406189555125731,0.27906976744186052,0.00088953644726530445,0.049495350506176372,-0.014406723137464161,0.10689514483884127
