model,accuracy,accuracy_ci_lower,accuracy_ci_upper,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper,weighted_f1
flat,0.74209378407851678,0.7284623773173392,0.75572519083969458,0.6503125394090663,0.6239526459987611,0.67854024061381224,0.61922246851689733,0.59198250449048884,0.64658057413189574,0.75255672138262075
hierarchical,0.74018538713195203,0.72628135223555057,0.75408942202835316,0.63119892388779841,0.60328539159302907,0.65920479684055311,0.60536740055610194,0.58103355668601531,0.62927517968697277,0.75033156944359691
