class,support,flat_f1,flat_ci_lower,flat_ci_upper,hierarchical_f1,hierarchical_ci_lower,hierarchical_ci_upper,flat_minus_hierarchical,difference_ci_lower,difference_ci_upper
non_malignant,2398,0.8218298555377207,0.80987540378403311,0.83367372416362095,0.82662538699690402,0.81530922746217094,0.837951673686544,-0.0047955314591833003,-0.0166249343778553,0.0069724991290407001
melanoma,678,0.60942158616577224,0.58614564831261085,0.63221153846153844,0.5783885071830106,0.55353730851426208,0.6038454746504941,0.0310330789827616,0.0070322602542232998,0.055442210073996197
bcc,498,0.68849557522123894,0.66082228617074035,0.71628783644470917,0.69869869869869872,0.6680497925311204,0.72854326664531677,-0.0102031234774597,-0.038754278695887497,0.018757309526726201
scc,94,0.3571428571428571,0.26506024096385539,0.44848484848484849,0.31775700934579432,0.2407407407407407,0.39301683275482402,0.039385847797062702,-0.0563790271475271,0.1343341002251614
