epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,epoch_seconds
1,0.0003,0.6443303881251793,0.7408899789768746,0.4758709634642568,0.47926508630427544,0.600998285812536,0.7579062159214831,0.5912199730005662,0.5466625755827698,138.699039028
2,0.0002991810233575568,0.5271963942582795,0.7882504087829947,0.558810158219394,0.5722117819077048,0.5385479194517354,0.8091603053435115,0.5713008814056862,0.5981913662874276,136.672189305
3,0.0002967330663097039,0.4907384713073112,0.8017402476056996,0.6002276881826389,0.621265845819233,0.733757844538049,0.7096510359869138,0.6275528882548274,0.578649942034732,137.224207164
4,0.0002926829491861254,0.45012824156940945,0.8187339406680683,0.6379643228026728,0.6607784687744015,0.5995979896028534,0.759814612868048,0.6753553464936516,0.6473562930091257,138.12895640799996
5,0.00028707504591756876,0.41673950596519566,0.8356692361597757,0.6835493864638907,0.7057261961807161,0.5151858358047781,0.8107960741548528,0.6059714510964315,0.615931406155419,136.99997711599997
6,0.00027997079786577355,0.4064157906048656,0.8392898855407614,0.6967702841786639,0.7202492997910059,0.6535484466453935,0.7358233369683751,0.6021686347865689,0.568433948280385,137.66924715599998
7,0.0002714480406590546,0.3739957873285499,0.8502102312543798,0.7169015631308847,0.7397255330584044,0.5542243357053109,0.7843511450381679,0.659251347521363,0.642307050924807,143.643646386
8,0.0002616001514088704,0.3553163960795346,0.8586194814295726,0.7327565264506816,0.751314332411328,0.5923872524415393,0.7595419847328244,0.609322536733361,0.5781375749901425,137.28403441
9,0.0002505350256506492,0.33201860717052445,0.867787900023359,0.7638022138995543,0.7819548895254681,0.510570124750439,0.8170665212649946,0.6510425280200147,0.649284550628395,136.85005344399997
10,0.00023837389521772463,0.3044866767338408,0.8795842092968933,0.783999975372418,0.8043675045534665,0.677133773119395,0.7295528898582334,0.6850920644005469,0.6149294050424824,136.8735136690002
11,0.00022524999999999992,0.2781304983829845,0.888986218173324,0.8062300818729681,0.8223271557341265,0.6362232149232305,0.779989094874591,0.6556715281227711,0.6415689843081502,136.69064768199996
12,0.0002113071281398321,0.2597428434253212,0.898621817332399,0.823460825314097,0.8411362258696826,0.8219297726515725,0.7568157033805889,0.6156612308283126,0.6053918637987873,136.83070380999993
13,0.00019669804065905458,0.23496589977951202,0.9076734407848633,0.8500650240001288,0.8628032966967535,0.578511070724142,0.8197928026172301,0.6799496147292698,0.6774530795137109,136.6642248369999
14,0.00018158279777725494,0.21874764006644926,0.9149147395468349,0.8569749514240517,0.8671320912619878,0.6568961990438604,0.7930752453653217,0.639263347185635,0.6379497142915552,136.67118155599974
15,0.00016612700525851415,0.19087135165588678,0.924725531417893,0.8860446010765796,0.8915998783736044,0.721213951755636,0.7797164667393675,0.633745806467292,0.6123453467136524,137.77277299099978
16,0.0001505,0.1687844238637541,0.9338355524410185,0.9035853650051031,0.909134136526441,0.6579485417972344,0.8151581243184297,0.6842776422901122,0.6820107639946905,137.18080143899988
17,0.0001348729947414858,0.14758077921696952,0.9451062835786032,0.9132755113361963,0.9205908728812995,0.7510628889405221,0.8165212649945475,0.6858920895557501,0.68547022023008,136.70558754199965
18,0.00011941720222274492,0.129983414169005,0.9510628357860313,0.9325866047577293,0.9367513332159985,0.8470005340378574,0.7933478735005453,0.6495175993023142,0.6481678280041938,136.97829001899981
19,0.00010430195934094534,0.11431764546913177,0.95649380985751,0.9376183980158895,0.941743404499672,0.8749680359204957,0.7829880043620502,0.6740220879097342,0.6612869297387061,136.65051274299958
20,8.969287186016786e-05,0.10171420690515447,0.9615160009343612,0.9427497479062596,0.9471889300802993,0.9324245550380278,0.7788985823336968,0.6574782215643767,0.6407764320289789,136.97933363500033
21,7.575000000000001e-05,0.09095530427036874,0.9657790235926186,0.9553667642364063,0.9572528440248846,0.9244632050151264,0.8080697928026173,0.6653037641020968,0.6595759611533447,136.74418869700003
22,6.262610478227527e-05,0.07230196558191408,0.9738962859145059,0.9660123142559004,0.9674815223461397,1.0298494201970074,0.7862595419847328,0.6681402735496135,0.653376232814023,136.82889665699986
23,5.046497434935074e-05,0.06389664218814761,0.9776921280074748,0.9682284995140564,0.9705915853009931,0.9460393966479286,0.806979280261723,0.656959964995959,0.6468189841447722,136.6971677790002
24,3.939984859112959e-05,0.05505732183850026,0.979677645409951,0.9703272483980955,0.9728882035676043,1.1692947639373812,0.7816248636859324,0.6507005246720559,0.6319544276858111,136.90201017900017
